#"행정구역별(1)",행정구역별(2),2006 4/4,2007 4/4,2008 4/4,2009 4/4,2010 4/4,2011 4/4,2012 4/4,2013 4/4,2014 4/4,2015 4/4,2016 4/4,2017 4/4,2018 4/4,2019 4/4,2020 4/4
"서울",종로구,65.9,74.4,73.5,82.3,80.6,84.6,79,81.5,82.9,89.4,93.3,100,115.6,124.6,141.8
"서울",중구,67.2,73.6,73.6,84,80.2,81.2,76.1,77.1,80.1,86.2,91.4,100,125.3,132.6,159.1
"서울",용산구,70,81.9,76.6,85.2,78.5,77,71.3,70.7,74,81.5,87.9,100,124.7,137.6,156.4
"서울",성동구,66.5,73.2,68.9,76.1,72.6,72.3,67,68.7,71.4,78.8,86.5,100,127.9,138.1,174.3
"서울",광진구,72.2,75.2,69.8,81.2,78.8,78.7,74,76,79.4,84.3,89.3,100,121.3,134.5,164
"서울",동대문구,64.3,76,79.6,84.9,81.4,82.6,76.9,78.5,81.4,88.4,92.7,100,127.3,132.6,165.2
"서울",중랑구,62.3,74.3,83.5,89.8,85.4,86.4,81,82,83,91.1,94.7,100,118.3,126.6,163
"서울",성북구,67.6,78.7,84,86.9,81.9,83.3,77.9,79.8,82.4,91.1,95.8,100,125.9,130.8,174.4
"서울",강북구,62.2,79.2,87.3,91.2,83.7,85.8,80.2,82.5,84.1,91.5,96.5,100,119.8,120.4,161.7
"서울",도봉구,59.7,75.6,85.8,92,83.9,83.9,77,79.3,81.2,88.2,93.9,100,118.2,122.4,161.5
"서울",노원구,55.6,70.4,80.7,88,80.8,80.2,73.1,74.2,77.7,84.8,91.8,100,120.7,127.5,173.5
"서울",은평구,64.7,75.8,81.4,84.1,81.7,84.1,79.6,80.6,83.2,88.3,96.7,100,118.1,121.8,150.7
"서울",서대문구,62.7,74.4,78.8,84,81,81.1,76.1,77.2,79.9,85.5,93.3,100,124.8,131.1,163
"서울",마포구,64.7,71.8,69.6,79.1,76.4,76.4,70.8,73,76.3,82.7,89.9,100,124.6,136.3,161.4
"서울",양천구,80.9,79.3,70.3,84.4,80.5,77.3,71.3,73.2,77.1,83.9,93.2,100,118.9,132.2,163.8
"서울",강서구,69.7,72.5,73.4,81.5,77.3,75.8,70.8,72.1,72.8,83.9,93,100,121.7,124,150.1
"서울",구로구,66.5,78.5,81.9,87.3,83.3,83.4,78.5,79.7,81.4,88.5,94.4,100,118.9,125.8,155.9
"서울",금천구,66.1,76,83.4,88.5,83.3,83.1,78.8,81.6,84.6,91.9,96.4,100,112.5,120.5,150.3
"서울",영등포구,69.4,75.3,74.7,82.6,78.3,76.9,71.6,72.7,74.9,82.2,90.8,100,129.3,141.5,170.7
"서울",동작구,72,78,76.9,81.4,78.2,78.5,73,74.4,77.1,83.3,89.3,100,126.6,134.5,162.4
"서울",관악구,69.9,78.1,80.8,84.8,81.2,81.5,77.4,79,80.9,87.4,93.1,100,120.8,125.4,155.9
"서울",서초구,70,69.6,60.1,72.6,72.2,71.4,66,67.5,73.1,80.6,88.6,100,121.4,132.9,147.5
